# This MeasurementStore object was saved on 27/07/2014 4:42:04 PM

# _FirstTime.Ticks
635420760626509650
# _PreviousTime.Ticks
635420761240970109
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
116.9876,635420760702410950,3,-19650741,7
5.691382,635420760702509630,4,-19650741,12
-1,635420760702980300,5,-19650740,49
134.5205,635420760702921230,6,-19650740,3
217.7336,635420760703304360,2,-19650740,33
-1,635420760703314390,1,-19650740,2
-1,635420760703692690,3,-19650740,28
-1,635420760703818920,4,-19650739,13
6.082133,635420760703849630,6,-19650739,0
163.2152,635420760703869290,5,-19650739,2
-1,635420760704308780,1,-19650739,54
-1,635420760704648650,3,-19650739,24
-1,635420760704563780,2,-19650739,5
-1,635420760704880000,4,-19650738,17
-1,635420760704983060,5,-19650738,9
31.90572,635420760705084320,1,-19650738,19
-1,635420760705278180,6,-19650738,8
75.00732,635420760705426080,3,-19650738,17
-1,635420760705480850,2,-19650738,14
221.9469,635420760705633230,4,-19650738,8
-1,635420760706075460,5,-19650737,40
-1,635420760706155610,6,-19650737,6
6.286004,635420760706056330,1,-19650737,2
155.9948,635420760706263940,2,-19650737,20
5.878263,635420760706509640,4,-19650737,13
-1,635420760706690930,3,-19650737,19
132.7536,635420760706752390,5,-19650736,6
212.7218,635420760706967310,6,-19650736,21
6.523853,635420760707180020,2,-19650736,31
-1,635420760707376180,1,-19650736,19
-1,635420760707649120,3,-19650736,16
5.980198,635420760707849620,6,-19650735,20
-1,635420760707911960,4,-19650735,6
-1,635420760707983100,5,-19650735,7
52.90437,635420760708412760,3,-19650735,42
-1,635420760708308710,1,-19650735,0
-1,635420760708577250,2,-19650735,26
-1,635420760708808560,4,-19650734,13
-1,635420760708978700,5,-19650734,14
-1,635420760709267440,6,-19650734,29
151.8155,635420760709154930,1,-19650734,0
-1,635420760709480750,2,-19650734,32
-1,635420760709652910,3,-19650734,7
245.443,635420760709646530,4,-19650734,2
131.0377,635420760709749240,5,-19650733,6
-1,635420760710148660,6,-19650733,39
-1,635420760710078430,1,-19650733,5
110.9055,635420760710237360,2,-19650733,15
5.878263,635420760710509630,4,-19650733,17
237.7469,635420760710526820,3,-19650733,1
154.0581,635420760710932680,6,-19650732,39
-1,635420760711079790,5,-19650732,14
6.710734,635420760711180160,2,-19650732,21
-1,635420760711376080,1,-19650732,19
-1,635420760711686680,3,-19650732,20
-1,635420760711819110,4,-19650731,14
5.895252,635420760711849620,6,-19650731,6
-1,635420760711978750,5,-19650731,6
-1,635420760712309360,1,-19650731,45
-1,635420760712524320,2,-19650731,20
-1,635420760712648920,3,-19650731,4
275.208,635420760712834060,5,-19650730,15
-1,635420760712879720,4,-19650730,9
-1,635420760713107130,6,-19650730,17
219.7043,635420760713131460,1,-19650730,15
42.16719,635420760713407040,3,-19650730,16
-1,635420760713478490,2,-19650730,17
234.4849,635420760713640070,4,-19650730,6
-1,635420760714079870,5,-19650729,42
-1,635420760714159290,6,-19650729,6
-1,635420760714078280,1,-19650729,4
325.0883,635420760714363450,2,-19650729,27
5.776328,635420760714509590,4,-19650729,23
232.9899,635420760714526880,3,-19650729,0
-1,635420760715149280,6,-19650728,45
6.778691,635420760715180210,2,-19650728,15
-1,635420760715376030,1,-19650728,18
-1,635420760715690450,3,-19650728,21
-1,635420760715819030,4,-19650727,14
135.7437,635420760715848880,5,-19650727,1
143.5078,635420760715926540,6,-19650727,8
-1,635420760716308770,1,-19650727,49
-1,635420760716648940,3,-19650727,25
-1,635420760716576740,2,-19650727,2
5.929231,635420760716849590,6,-19650726,15
-1,635420760716879720,4,-19650726,5
-1,635420760716983430,5,-19650726,9
126.0429,635420760717139820,1,-19650726,26
53.97469,635420760717413640,3,-19650726,17
-1,635420760717478640,2,-19650726,16
209.8506,635420760717625610,4,-19650726,5
-1,635420760718075410,5,-19650725,43
-1,635420760718159220,6,-19650725,9
-1,635420760718078320,1,-19650725,2
108.6459,635420760718236100,2,-19650725,15
16.12275,635420760718389320,3,-19650725,7
5.810307,635420760718509710,4,-19650725,9
-1,635420760719693300,3,-19650724,125
-1,635420760719371940,1,-19650724,0
-1,635420760719819330,4,-19650723,5
-1,635420760720371860,1,-19650723,64
-1,635420760720649000,3,-19650723,17
-1,635420760720879720,4,-19650722,22
111.0584,635420760721067470,1,-19650722,29
159.3757,635420760721435920,3,-19650722,27
302.1359,635420760721679900,4,-19650722,23
-1,635420760719079720,5,-19650724,17
-1,635420760720128000,5,-19650723,0
294.9665,635420760720845780,5,-19650722,0
-1,635420760721983500,5,-19650721,13
6.710734,635420760719180110,2,-19650724,7
-1,635420760720491510,2,-19650723,0
-1,635420760721478620,2,-19650722,0
-1,635420760719156970,6,-19650724,0
121.099,635420760719913340,6,-19650723,0
-1,635420760720873090,6,-19650722,0
-1,635420760722078940,1,-19650721,13
-1,635420760722096730,6,-19650721,6
118.9244,635420760722242130,2,-19650721,8
67.99078,635420760722386150,3,-19650721,5
5.810307,635420760722509660,4,-19650721,13
219.6194,635420760723096160,6,-19650720,56
6.353961,635420760723179890,2,-19650720,19
-1,635420760723370270,1,-19650720,18
-1,635420760723696540,3,-19650720,23
-1,635420760723818910,4,-19650719,12
-1,635420760724079670,5,-19650719,23
-1,635420760724096930,6,-19650719,2
-1,635420760724308670,1,-19650719,31
-1,635420760724648720,3,-19650719,24
-1,635420760724563790,2,-19650719,1
-1,635420760724891630,4,-19650718,22
-1,635420760725075340,5,-19650718,17
-1,635420760725099920,6,-19650718,5
29.74809,635420760725083000,1,-19650718,9
134.5205,635420760725460840,3,-19650718,25
-1,635420760725478480,2,-19650718,11
306.5192,635420760725683060,4,-19650718,11
128.6762,635420760725844530,5,-19650717,14
-1,635420760726078310,1,-19650717,36
-1,635420760726168990,6,-19650717,0
109.9201,635420760726236820,2,-19650717,12
5.980198,635420760726509600,4,-19650717,27
-1,635420760726692530,3,-19650717,9
-1,635420760727150100,5,-19650716,43
-1,635420760727196660,6,-19650716,5
6.404928,635420760727179930,2,-19650716,10
-1,635420760727376660,1,-19650716,19
-1,635420760727648710,3,-19650716,17
153.9561,635420760727932660,6,-19650715,27
-1,635420760727924320,4,-19650715,4
-1,635420760727981120,5,-19650715,3
-1,635420760728309200,1,-19650715,43
82.21074,635420760728430000,3,-19650715,0
-1,635420760728576710,2,-19650715,26
-1,635420760728808820,4,-19650714,12
5.810307,635420760728849660,6,-19650714,3
