# This MeasurementStore object was saved on 27/07/2014 4:24:05 PM

# _FirstTime.Ticks
635420749726319560
# _PreviousTime.Ticks
635420750453089133
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
-1,635420749870563770,2,-19661573,25
-1,635420749870652850,3,-19661573,12
-1,635420749870879800,4,-19661572,23
-1,635420749871079520,5,-19661572,19
-1,635420749871160890,6,-19661572,7
-1,635420749871372250,1,-19661572,17
-1,635420749871487010,2,-19661572,14
-1,635420749871690110,3,-19661572,23
-1,635420749871814900,4,-19661571,10
-1,635420749871979030,5,-19661571,15
21.44037,635420749872077830,1,-19661571,7
-1,635420749872217370,6,-19661571,17
325.0714,635420749872363460,2,-19661571,11
102.0711,635420749872402180,3,-19661571,8
253.9036,635420749872651940,4,-19661571,24
317.6471,635420749872859130,5,-19661570,19
129.4577,635420749872918320,6,-19661570,5
6.472885,635420749873010070,1,-19661570,6
148.6725,635420749873263650,2,-19661570,25
166.1034,635420749873480490,3,-19661570,27
5.793317,635420749873509660,4,-19661570,3
5.997188,635420749873849610,6,-19661569,30
-1,635420749873983510,5,-19661569,14
146.0731,635420749874092220,1,-19661569,9
-1,635420749874482700,2,-19661569,38
